variable name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000sf1,2000sf3
female_hisp_collplus_a,,,,,,,,,,,,,P148H016
female_hisp_collplus_b,,,,,,,,,,,,,P148H017
est_nev_married_m,DP02_0026,DP02_0026,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,,P018003
est_married_m,DP02_0027,DP02_0027,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,,P018004
est_separated_m,DP02_0028,DP02_0028,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,,P018007
est_widowed_m,DP02_0029,DP02_0029,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,,P018009
est_divorced_m,DP02_0030,DP02_0030,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,,P018010
est_nev_married_f,DP02_0032,DP02_0032,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,,P018012
est_married_f,DP02_0033,DP02_0033,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,,P018013
est_separated_f,DP02_0034,DP02_0034,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,,P018016
est_widowed_f,DP02_0035,DP02_0035,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,,P018018
est_divorced_f,DP02_0036,DP02_0036,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,,P018019
est_15_50_births_12mo,DP02_0037,DP02_0037,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,,
est_unmarried_15_50_births_12mo,DP02_0038,DP02_0038,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,,
est_vet_status_civilian,DP02_0070,DP02_0070,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,,P040001
est_disability_civilian,DP02_0072,DP02_0072,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,,
est_disability_civilian_1,,,,,,,,,,,,,P042004
est_disability_civilian_2,,,,,,,,,,,,,P042007
est_disability_civilian_3,,,,,,,,,,,,,P042014
est_disability_civilian_4,,,,,,,,,,,,,P042021
est_disability_civilian_5,,,,,,,,,,,,,P042024
est_disability_civilian_6,,,,,,,,,,,,,P042028
est_disability_civilian_7,,,,,,,,,,,,,P042031
est_disability_civilian_8,,,,,,,,,,,,,P042038
est_disability_civilian_9,,,,,,,,,,,,,P042045
est_disability_civilian_10,,,,,,,,,,,,,P042048
est_not_labor,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,,
est_not_labor_a,,,,,,,,,,,,,P043008
est_not_labor_b,,,,,,,,,,,,,P043015
n_labor,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,,
n_labor_a,,,,,,,,,,,,,P043003
n_labor_b,,,,,,,,,,,,,P043010
n_unemp,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,,
n_unemp_a,,,,,,,,,,,,,P043007
n_unemp_b,,,,,,,,,,,,,P043014
est_ind_constr,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,,
est_ind_constr_a,,,,,,,,,,,,,P049006
est_ind_constr_b,,,,,,,,,,,,,P049033
